name;description;year;category;genre;Top200;Top50;Icons;Top 80s;Top 90s;multiplayer;bios;sample
deathsml;Deathsmiles;2007;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
ddonpach;DoDonPachi;1997;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
dragnblz;Dragon Blaze;2000;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
ddsom;Dungeons & Dragons: Shadow over Mystara;1996;Fighter / 2.5D;Fighter;x;x;;;x;x;;
elvactr;Elevator Action Returns;1994;Platform / Shooter;Platform;x;x;;;x;x;;
espgal2;Espgaluda II;2005;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai;1995;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
garou;Garou - Mark of the Wolves;1999;Fighter / Versus;Fighter;x;x;x;;x;x;neogeo;
gigawing;Giga Wing;1999;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
gunbird2;Gunbird 2;1998;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
gunlock;Gunlock;1993;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
joemacr;Joe & Mac Returns;1994;Platform / Run Jump;Platform;x;;;;x;x;;
kinst2;Killer Instinct 2;1996;Fighter / Versus;Fighter;mame;;;;mame;x;;
lightbr;Light Bringer;1993;Maze / Fighter;Maze;x;;;;x;x;;
bnzabros;Bonanza Bros;1990;Platform / Shooter;Platform;x;;;;x;x;;
msword;Magic Sword: Heroic Fantasy;1990;Platform / Fighter Scrolling;Platform;x;x;;;x;x;;
magdrop3;Magical Drop III;1997;Puzzle / Toss;Puzzle;x;;;;x;x;neogeo;
mvsc;Marvel Vs. Capcom: Clash of Super Heroes;1998;Fighter / Versus;Fighter;x;x;;;x;x;;
megaman2;Mega Man 2: The Power Fighters;1996;Fighter / Versus Co-op;Fighter;x;;;;x;x;;
mslug4;Metal Slug 4;2002;Platform / Shooter Scrolling;Platform;x;;;;x;x;neogeo;
mwalk;Michael Jackson's Moonwalker;1990;Platform / Fighter Scrolling;Platform;x;;;;x;x;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Puzzle / Toss;Puzzle;x;;;;x;x;neogeo;
mrdrillr;Mr. Driller;1999;Puzzle / Misc.;Puzzle;mame;;;;mame;;;
futari15;Mushihime-Sama Futari Ver 1.5;2006;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
nbahangt;NBA Hangtime;1996;Sports / Basketball;Sports;x;x;;;x;x;;
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Sports / Golf;Sports;x;x;;;x;;neogeo;
nbbatman;Ninja Baseball Bat Man;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
outzone;Out Zone;1990;Shooter / Walking;Shooter;x;;;;x;x;;
parodius;Parodius DA!;1990;Shooter / Flying Horizontal;Shooter;;;x;;x;;;
plsmaswd;Plasma Sword: Nightmare of Bilstein;1998;Fighter / Versus;Fighter;mame;;;;mame;x;coh3002c;
pspikes;Power Spikes;1991;Sports / Volleyball;Sports;x;;;;x;x;;
progear;Progear;2001;Shooter / Flying Horizontal;Shooter;x;;;;x;x;;
pulstar;Pulstar;1995;Shooter / Flying Horizontal;Shooter;x;;;;x;;neogeo;
puyopuy2;Puyo Puyo 2;1994;Puzzle / Drop;Puzzle;x;x;;;x;x;;
puzzloop;Puzz Loop;1998;Puzzle / Toss;Puzzle;x;;;;x;x;skns;
ichir;Puzzle & Action: Ichidant-R;1994;Multiplay / Mini-Games;Multiplay;x;;;;x;x;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again;1999;Puzzle / Toss;Puzzle;x;x;;;x;x;neogeo;
rtypeleo;R-Type Leo;1992;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
rmpgwt;Rampage: World Tour;1997;Platform / Fighter;Platform;x;;;;x;x;;
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;Fighter / Versus;Fighter;x;x;;;x;x;neogeo;
redearth;Red Earth;1996;Fighter / Versus Co-op;Fighter;x;;;;x;x;;
ridgerac;Ridge Racer;1993;Driving / 1st Person;Driving;mame;x;mame;;mame;;;
rvschool;Rival Schools: United By Fate;1997;Fighter / Versus;Fighter;mame;x;;;mame;x;coh3002c;
rthun2;Rolling Thunder 2;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin;1996;Fighter / Versus;Fighter;x;x;;;x;x;neogeo;
slammast;Saturday Night Slam Masters;1993;Sports / Wrestling;Sports;x;;;;x;x;;
cairblad;Change Air Blade;1999;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
sexyparo;Sexy Parodius;1996;Shooter / Flying Horizontal;Shooter;mame;x;;;mame;x;konamigx;
shocktr2;Shock Troopers - 2nd Squad;1998;Shooter / Walking;Shooter;x;;;;x;x;neogeo;
smashtv;Smash T.V.;1990;Shooter / Field;Shooter;;;x;;x;x;;
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies;1995;Shooter / Gallery;Shooter;x;;;;x;x;;
mazinger;Mazinger Z;1994;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
sfa3;Street Fighter Alpha 3;1998;Fighter / Versus;Fighter;x;x;;;x;x;;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;1999;Fighter / Versus;Fighter;x;x;;;x;x;;
s1945ii;Strikers 1945 II;1997;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
ssriders;Sunset Riders;1991;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;1996;Sports / Dodgeball;Sports;x;;;;x;x;neogeo;
spang;Super Pang;1990;Shooter / 3rd Person;Shooter;x;;;;x;x;;
spf2t;Super Puzzle Fighter II Turbo;1996;Puzzle / Drop;Puzzle;x;x;;;x;x;;
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football;1994;Sports / Soccer;Sports;x;x;;;x;x;neogeo;
ssf2t;Super Street Fighter II Turbo;1994;Fighter / Versus;Fighter;x;;x;;x;x;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time;1991;Fighter / 2.5D;Fighter;x;;;;x;x;;
tekken3;Tekken 3;1996;Fighter / Versus;Fighter;mame;x;;;mame;x;;
tetrisp2;Tetris Plus 2;1997;Puzzle / Drop;Puzzle;x;;;;x;x;;
tgm2;Tetris: The Absolute - The Grand Master 2;2000;Puzzle / Drop;Puzzle;x;x;;;x;x;;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends;1998;Fighter / Versus;Fighter;x;x;x;;x;x;neogeo;
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi;1998;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
punisher;The Punisher;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
trstar;Top Ranking Stars;1993;Sports / Boxing;Sports;x;;;;x;x;;
truxton2;Truxton II / Tatsujin Oh;1992;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
twinspri;Twinkle Star Sprites;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;neogeo;
umk3;Ultimate Mortal Kombat 3;1994;Fighter / Versus;Fighter;x;;;;x;x;;
ultennis;Ultimate Tennis;1993;Sports / Tennis;Sports;x;;;;x;x;;
vsav;Vampire Savior: The Lord of Vampire;1997;Fighter / Versus;Fighter;x;x;;;x;x;;
vasara2;Vasara 2;2001;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
wjammers;Windjammers / Flying Power Disc;1994;Sports / Misc.;Sports;x;x;x;;x;x;neogeo;
wh2j;World Heroes 2 Jet;1994;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
wrally;World Rally;1993;Driving / Race;Driving;x;;;;x;;;
