name;description;year;category;genre;Top200;Top50;Icons;Top 80s;Top 90s;multiplayer;bios;sample
ichir;Puzzle & Action: Ichidant-R;1994;Multiplay / Mini-Games;Multiplay;x;;;;x;x;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again;1999;Puzzle / Toss;Puzzle;x;x;;;x;x;neogeo;
puzzledp;Puzzle De Pon!;1995;Puzzle / Toss;Puzzle;x;;;;;x;neogeo;
qix;Qix;1981;Puzzle / Outline;Puzzle;x;;x;x;;;;
rtypeleo;R-Type Leo;1992;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
rdft;Raiden Fighters;1996;Shooter / Flying Vertical;Shooter;x;;;;;x;;
rmpgwt;Rampage: World Tour;1997;Platform / Fighter;Platform;x;;;;x;x;;
rastan;Rastan;1987;Platform / Fighter Scrolling;Platform;x;;;x;;;;
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;Fighter / Versus;Fighter;x;x;;;x;x;neogeo;
redearth;Red Earth;1996;Fighter / Versus Co-op;Fighter;x;;;;x;x;;
ridgerac;Ridge Racer;1993;Driving / 1st Person;Driving;mame;x;mame;;mame;;;
rvschool;Rival Schools: United By Fate;1997;Fighter / Versus;Fighter;mame;x;;;mame;x;coh3002c;
robocop;Robocop;1988;Platform / Shooter Scrolling;Platform;x;;;x;;;;
rthun2;Rolling Thunder 2;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
rygar;Rygar;1986;Platform / Fighter Scrolling;Platform;x;;x;x;;;;
salamand;Salamander;1986;Shooter / Flying;Shooter;x;;;x;;x;;
alpham2;Alpha Mission II / ASO II - Last Guardian;1991;Shooter / Flying Vertical;Shooter;x;;;;;x;neogeo;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin;1996;Fighter / Versus;Fighter;x;x;;;x;x;neogeo;
slammast;Saturday Night Slam Masters;1993;Sports / Wrestling;Sports;x;;;;x;x;;
cairblad;Change Air Blade;1999;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
secretag;Secret Agent;1989;Platform / Shooter Scrolling;Platform;x;;;x;;;;
sexyparo;Sexy Parodius;1996;Shooter / Flying Horizontal;Shooter;mame;x;;;mame;x;konamigx;
shdancer;Shadow Dancer;1989;Platform / Fighter Scrolling;Platform;x;x;;x;;;;
shocktr2;Shock Troopers - 2nd Squad;1998;Shooter / Walking;Shooter;x;;;;x;x;neogeo;
dogyuun;Dogyuun;1992;Shooter / Flying Vertical;Shooter;x;;;;;x;;
esprade;ESP Ra.De.;1998;Shooter / Flying Vertical;Shooter;x;;;;;x;;
svc;SNK vs. Capcom - SVC Chaos;2003;Fighter / Versus;Fighter;x;;;;;x;neogeo;
solomon;Solomon's Key;1986;Puzzle / Maze;Puzzle;x;;;x;;;;
sharrier;Space Harrier;1985;Shooter / Flying (chase view);Shooter;x;;x;x;;;;
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies;1995;Shooter / Gallery;Shooter;x;;;;x;x;;
spelunkr;Spelunker;1985;Platform / Run, Jump & Scrolling;Platform;x;;;x;;;;
kingdmgp;Kingdom Grandprix;1994;Shooter / Flying Vertical;Shooter;x;;;;;x;;
splatter;Splatter House;1988;Fighter / 2D;Fighter;x;;x;x;;;;
macrossp;Macross Plus;1996;Shooter / Flying Vertical;Shooter;x;;;;;x;;
mazinger;Mazinger Z;1994;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
sfa3;Street Fighter Alpha 3;1998;Fighter / Versus;Fighter;x;x;;;x;x;;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;1999;Fighter / Versus;Fighter;x;x;;;x;x;;
strider;Strider;1989;Platform / Fighter Scrolling;Platform;x;x;x;x;;;;
s1945ii;Strikers 1945 II;1997;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
ssriders;Sunset Riders;1991;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;1996;Sports / Dodgeball;Sports;x;;;;x;x;neogeo;
spang;Super Pang;1990;Shooter / 3rd Person;Shooter;x;;;;x;x;;
spf2t;Super Puzzle Fighter II Turbo;1996;Puzzle / Drop;Puzzle;x;x;;;x;x;;
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football;1994;Sports / Soccer;Sports;x;x;;;x;x;neogeo;
ssf2t;Super Street Fighter II Turbo;1994;Fighter / Versus;Fighter;x;;x;;x;x;;
pwrgoal;Taito Power Goal;1994;Sports / Soccer;Sports;x;;;;;x;;
tapper;Tapper;1983;Platform / Run Jump;Platform;x;;;x;;;;
tbowl;Tecmo Bowl;1987;Sports / Football;Sports;x;;;x;;x;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time;1991;Fighter / 2.5D;Fighter;x;;;;x;x;;
tekken3;Tekken 3;1996;Fighter / Versus;Fighter;mame;x;;;mame;x;;
tdragon2;Thunder Dragon 2;1993;Shooter / Flying Vertical;Shooter;x;;;;;x;;
tetrisp2;Tetris Plus 2;1997;Puzzle / Drop;Puzzle;x;;;;x;x;;
tgm2;Tetris: The Absolute - The Grand Master 2;2000;Puzzle / Drop;Puzzle;x;x;;;x;x;;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends;1998;Fighter / Versus;Fighter;x;x;x;;x;x;neogeo;
kof2002;The King of Fighters 2002;2002;Fighter / Versus;Fighter;x;;;;;x;neogeo;
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi;1998;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
tnzs;The NewZealand Story;1988;Platform / Run, Jump & Scrolling;Platform;x;;;x;;;;
punisher;The Punisher;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
gundhara;Gundhara;1995;Shooter / Walking;Shooter;x;;;;;x;;
timeplt;Time Pilot;1982;Shooter / Field;Shooter;x;;;x;;;;
toki;Toki;1989;Platform / Shooter Scrolling;Platform;x;;;x;;;;
trstar;Top Ranking Stars;1993;Sports / Boxing;Sports;x;;;;x;x;;
travrusa;Traverse USA / Zippy Race;1983;Driving / Motorbike;Driving;x;;;x;;;;
truxton2;Truxton II / Tatsujin Oh;1992;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
toutrun;Turbo Out Run;1989;Driving / Race (chase view);Driving;x;;;x;;;;
twinspri;Twinkle Star Sprites;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;neogeo;
umk3;Ultimate Mortal Kombat 3;1994;Fighter / Versus;Fighter;x;;;;x;x;;
ultennis;Ultimate Tennis;1993;Sports / Tennis;Sports;x;;;;x;x;;
vsav;Vampire Savior: The Lord of Vampire;1997;Fighter / Versus;Fighter;x;x;;;x;x;;
vasara2;Vasara 2;2001;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
extdwnhl;Extreme Downhill;1995;Sports / Skiing;Sports;x;;;;;;;
wjammers;Windjammers / Flying Power Disc;1994;Sports / Misc.;Sports;x;x;x;;x;x;neogeo;
bssoccer;Back Street Soccer;1996;Sports / Soccer;Sports;x;;;;;x;;
wh2j;World Heroes 2 Jet;1994;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
wrally;World Rally;1993;Driving / Race;Driving;x;;;;x;;;
zaxxon;Zaxxon;1982;Shooter / Flying Diagonal;Shooter;x;x;x;x;;;;zaxxon
