name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical
3stooges;The Three Stooges In Brides Is Brides (set 1);1984;Mylstar;YES;-;NO;-;-;YES;NO;NO;-;NO
3wonders;Three Wonders (World 910520);1991;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
3wonderu;Three Wonders (US 910520);1991;Capcom;NO;3wonders;YES;3wonders;-;YES;NO;NO;-;NO
40love;Forty-Love (World);1984;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
4dwarrio;4-D Warriors (315-5162);1985;Coreland / Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
4enraya;4 En Raya (set 1);1990;IDSA;YES;-;NO;-;-;YES;NO;NO;-;NO
4in1;4 Fun in 1;1981;Armenia / Food and Fun;YES;-;NO;-;galaxian;YES;NO;NO;-;NO
4in1boot;Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.);2002;K1 Soft;YES;-;NO;-;-;YES;NO;NO;-;NO
64streej;64th. Street - A Detective Story (Japan);1991;Jaleco;NO;64street;YES;64street;-;YES;NO;NO;-;NO
64street;64th. Street - A Detective Story (World);1991;Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO
720g;720 Degrees (German, rev 2);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO
720gr1;720 Degrees (German, rev 1);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO
720r1;720 Degrees (rev 1);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO
720r2;720 Degrees (rev 2);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO
720r3;720 Degrees (rev 3);1986;Atari Games;NO;720;YES;720;-;YES;NO;NO;-;NO
800fath;800 Fathoms;1981;Amenip (US Billiards Inc. license);NO;mariner;YES;mariner;-;YES;NO;NO;-;NO
88games;'88 Games;1988;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
8ball;Video Eight Ball;1982;Century Electronics;YES;cvs;NO;-;-;YES;NO;NO;-;NO
8ball1;Video Eight Ball (Rev.1);1982;Century Electronics;NO;8ball;YES;8ball;-;YES;NO;NO;-;NO
8ballact;Eight Ball Action (DK conversion);1984;Seatongrove Ltd (Magic Electronics USA license);YES;8ball;NO;8ball;-;YES;NO;NO;-;NO
8ballat2;Eight Ball Action (DKJr conversion);1984;Seatongrove Ltd (Magic Eletronics USA licence);NO;8ballact;YES;8ballact;-;YES;NO;NO;-;NO
8bpm;Eight Ball Action (Pac-Man conversion);1985;Seatongrove Ltd (Magic Electronics USA license);NO;8ballact;YES;8ballact;-;YES;NO;NO;-;NO
99lstwar;'99: The Last War (set 1);1985;Crux / Proma;NO;repulse;YES;repulse;-;YES;NO;NO;-;NO
99lstwra;'99: The Last War (alternate);1985;Proma;NO;sonofphx;YES;sonofphx;-;YES;NO;NO;-;NO
9ballsh2;9-Ball Shootout (set 2);1993;E-Scape EnterMedia (Bundra license);NO;9ballsht;YES;9ballsht;-;YES;NO;NO;-;NO
9ballsh3;9-Ball Shootout (set 3);1993;E-Scape EnterMedia (Bundra license);NO;9ballsht;YES;9ballsht;-;YES;NO;NO;-;NO
9ballsht;9-Ball Shootout (set 1);1993;E-Scape EnterMedia (Bundra license);YES;coolpool;NO;coolpool;-;YES;NO;NO;-;NO
a51mxr3k;Area 51 / Maximum Force Duo (R3000, 2/10/98);1998;Atari Games;NO;area51mx;YES;area51mx;-;YES;NO;NO;-;NO
aafb;All American Football (rev E);1989;Leland Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
aafbb;All American Football (rev B);1989;Leland Corporation;NO;aafb;YES;aafb;-;YES;NO;NO;-;NO
aafbc;All American Football (rev C);1989;Leland Corporation;NO;aafb;YES;aafb;-;YES;NO;NO;-;NO
aafbd2p;All American Football (rev D, 2 Players);1989;Leland Corporation;NO;aafb;YES;aafb;-;YES;NO;NO;-;NO
abaseb;Atari Baseball (set 1);1979;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
abaseb2;Atari Baseball (set 2);1979;Atari;NO;abaseb;YES;abaseb;-;YES;NO;NO;-;NO
aburner;After Burner;1987;Sega;NO;aburner2;YES;aburner2;-;YES;NO;NO;-;NO
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
ace;Ace;1976;Allied Leisure;YES;-;NO;-;-;YES;NO;NO;-;NO
aceattac;Ace Attacker (FD1094 317-0059);1988;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
acedrvrw;Ace Driver: Racing Evolution (Rev. AD2, World);1994;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
acrobatm;Acrobat Mission;1991;UPL (Taito license);YES;-;NO;-;-;YES;NO;NO;-;NO
actfanc1;Act-Fancer Cybernetick Hyper Weapon (World revision 1);1989;Data East Corporation;NO;actfancr;YES;actfancr;-;YES;NO;NO;-;NO
actfancj;Act-Fancer Cybernetick Hyper Weapon (Japan revision 1);1989;Data East Corporation;NO;actfancr;YES;actfancr;-;YES;NO;NO;-;NO
actfancr;Act-Fancer Cybernetick Hyper Weapon (World revision 3);1989;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
aeroboto;Aeroboto;1984;Jaleco (Williams license);NO;formatz;YES;formatz;-;YES;NO;NO;-;NO
aerofgt;Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware);1992;Video System Co.;YES;-;NO;-;-;YES;NO;NO;-;NO
aerofgtb;Aero Fighters (Taiwan / Japan, set 1);1992;Video System Co.;NO;aerofgt;YES;aerofgt;-;YES;NO;NO;-;NO
aerofgtc;Aero Fighters (Taiwan / Japan, set 2);1992;Video System Co.;NO;aerofgt;YES;aerofgt;-;YES;NO;NO;-;NO
afighter;Action Fighter (FD1089A 317-0018);1986;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
agallet;Air Gallet (Europe);1996;Gazelle (Banpresto license);YES;-;NO;-;-;YES;NO;NO;-;NO
ainferno;Air Inferno (US);1990;Taito America Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
airbustj;Air Buster: Trouble Specialty Raid Unit (Japan);1990;Kaneko (Namco license);NO;airbustr;YES;airbustr;-;YES;NO;NO;-;NO
airbustr;Air Buster: Trouble Specialty Raid Unit (World);1990;Kaneko (Namco license);YES;-;NO;-;-;YES;NO;NO;-;NO
airco22b;Air Combat 22 (Rev. ACS1 Ver.B, Japan);1995;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
aircombj;Air Combat (Japan);1992;Namco;NO;aircomb;YES;aircomb;-;YES;NO;NO;-;NO
aircombu;Air Combat (US);1992;Namco;NO;aircombj;YES;aircombj;-;YES;NO;NO;-;NO
airduel;Air Duel (World, M82-A-A + M82-B-A);1990;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
airraid;Air Raid (Single PCB);1987;Seibu Kaihatsu;YES;cshooter;NO;cshooter;-;YES;NO;NO;-;NO
airwolf;Airwolf;1987;Kyugo;YES;-;NO;-;-;YES;NO;NO;-;NO
ajax;Ajax;1987;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
ajaxj;Ajax (Japan);1987;Konami;NO;ajax;YES;ajax;-;YES;NO;NO;-;NO
akkanvdr;Akkanbeder (Ver 2.5J 1995/06/14);1995;Taito Corporation;NO;spcinv95;YES;spcinv95;-;YES;NO;NO;-;NO
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;YES;slapfigh;NO;slapfigh;-;YES;NO;NO;-;NO
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
alibaba;Ali Baba and 40 Thieves;1982;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
alien3;Alien3: The Gun (World);1993;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
alieninv;Alien Invasion;19??;bootleg (Margamatics);NO;invaders;YES;invaders;invaders;YES;NO;NO;-;NO
aliens;Aliens (World set 1);1990;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
aliens2;Aliens (World set 2);1990;Konami;NO;aliens;YES;aliens;-;YES;NO;NO;-;NO
aliensj;Aliens (Japan set 1);1990;Konami;NO;aliens;YES;aliens;-;YES;NO;NO;-;NO
aliensu;Aliens (US);1990;Konami;NO;aliens;YES;aliens;-;YES;NO;NO;-;NO
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
aligator;Alligator Hunt (World, protected);1994;Gaelco;YES;-;NO;-;-;YES;NO;NO;-;NO
aligatun;Alligator Hunt (unprotected);1994;Gaelco;NO;aligator;YES;aligator;-;YES;NO;NO;-;NO
alleymas;Alley Master;1986;Cinematronics;YES;-;NO;-;-;YES;NO;NO;-;NO
alphaho;Alpha Fighter / Head On;19??;Data East Corporation;YES;-;NO;-;invinco;YES;NO;NO;-;NO
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007 ~ NGH-007);1991;SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
alphaona;Alpha One (prototype, 5 lives);1983;Atari;NO;mhavoc;YES;mhavoc;-;YES;NO;NO;-;NO
alphaone;Alpha One (prototype, 3 lives);1983;Atari;NO;mhavoc;YES;mhavoc;-;YES;NO;NO;-;NO
alphaxz;The Alphax Z (Japan);1986;Ed Co. Ltd. (Wood Place Inc. license);NO;m660;YES;m660;-;YES;NO;NO;-;NO
alpine;Alpine Ski (set 1);1982;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
alpinea;Alpine Ski (set 2);1982;Taito Corporation;NO;alpine;YES;alpine;-;YES;NO;NO;-;NO
alpinerc;Alpine Racer (Rev. AR2 Ver.C, World);1994;Namco;NO;alpinerd;YES;alpinerd;-;YES;NO;NO;-;NO
alpinerd;Alpine Racer (Rev. AR2 Ver.D, World);1994;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
altbeas2;Altered Beast (set 2, MC-8123B 317-0066);1988;Sega;NO;altbeast;YES;altbeast;-;YES;NO;NO;-;NO
altbeast;Altered Beast (set 8) (8751 317-0078);1988;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
amatelas;Sei Senshi Amatelass;1986;Nichibutsu;NO;amazon;YES;amazon;-;YES;NO;NO;-;NO
amazon;Soldier Girl Amazon;1986;Nichibutsu;YES;-;NO;-;-;YES;NO;NO;-;NO
ambush;Ambush;1983;Tecfri;YES;-;NO;-;-;YES;NO;NO;-;NO
ambusht;Ambush (Tecfri);1983;Tecfri;NO;ambush;YES;ambush;-;YES;NO;NO;-;NO
amerdart;AmeriDarts (set 1);1989;Ameri;YES;-;NO;-;-;YES;NO;NO;-;NO
amidar;Amidar;1982;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
amidaro;Amidar (Olympia);1982;Konami (Olympia license);NO;amidar;YES;amidar;-;YES;NO;NO;-;NO
amidars;Amidar (Scramble hardware);1982;Konami;NO;amidar;YES;amidar;-;YES;NO;NO;-;NO
amidaru;Amidar (Stern Electronics);1982;Konami (Stern Electronics license);NO;amidar;YES;amidar;-;YES;NO;NO;-;NO
amigo;Amigo (bootleg of Amidar, set 1);1982;bootleg;NO;amidar;YES;amidar;-;YES;NO;NO;-;NO
amspdwy;American Speedway (set 1);1987;Enerdyne Technologies Inc.;YES;-;NO;-;-;YES;NO;NO;-;NO
amspdwya;American Speedway (set 2);1987;Enerdyne Technologies Inc.;NO;amspdwy;YES;amspdwy;-;YES;NO;NO;-;NO
androdun;Andro Dunos (NGM-049 ~ NGH-049);1992;Visco;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
andromed;Andromeda (Japan?);1979;IPM;YES;-;NO;-;ipminvad;YES;NO;NO;-;NO
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;YES;-;NO;-;-;YES;NO;NO;-;NO
anteater;Anteater;1982;Tago Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008);1994;ADK / SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
aof;Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044);1992;SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
aof2a;Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056);1994;SNK;NO;aof2;YES;aof2;-;YES;NO;NO;neogeo;NO
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
apb;APB - All Points Bulletin (rev 7);1987;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
apb1;APB - All Points Bulletin (rev 1);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apb2;APB - All Points Bulletin (rev 2);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apb3;APB - All Points Bulletin (rev 3);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apb4;APB - All Points Bulletin (rev 4);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apb5;APB - All Points Bulletin (rev 5);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apb6;APB - All Points Bulletin (rev 6);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apbf;APB - All Points Bulletin (French);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
apbg;APB - All Points Bulletin (German);1987;Atari Games;NO;apb;YES;apb;-;YES;NO;NO;-;NO
aponow;Apocaljpse Now (bootleg of Rescue);1982;bootleg;NO;rescue;YES;rescue;-;YES;NO;NO;-;NO
appoooh;Appoooh;1984;Sanritsu / Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
aquajack;Aqua Jack (World);1990;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
aquajckj;Aqua Jack (Japan);1990;Taito Corporation;NO;aquajack;YES;aquajack;-;YES;NO;NO;-;NO
aquarium;Aquarium (US);1996;Excellent System;YES;-;NO;-;-;YES;NO;NO;-;NO
aquarush;Aqua Rush (Japan, AQ1/VER.A1);1999;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
arabfgt;Arabian Fight (World);1991;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
arabiamj;Arabian Magic (Ver 1.0J 1992/07/06);1992;Taito Corporation;NO;arabianm;YES;arabianm;-;YES;NO;NO;-;NO
arabiamu;Arabian Magic (Ver 1.0A 1992/07/06);1992;Taito America Corporation;NO;arabianm;YES;arabianm;-;YES;NO;NO;-;NO
arabian;Arabian;1983;Sun Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
arabiana;Arabian (Atari);1983;Sun Electronics (Atari license);NO;arabian;YES;arabian;-;YES;NO;NO;-;NO
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
arbalest;Arbalester;1989;Seta;YES;-;NO;-;-;YES;NO;NO;-;NO
arcadecl;Arcade Classics (prototype);1992;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
archriv2;Arch Rivals (rev 2.0);1989;Bally Midway;NO;archrivl;YES;archrivl;-;YES;NO;NO;-;NO
archrivl;Arch Rivals (rev 4.0 6/29/89);1989;Bally Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
area51;Area 51 (R3000);1996;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
area51mx;Area 51 / Maximum Force Duo v2.0;1998;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
area88;Area 88 (Japan);1989;Capcom;NO;unsquad;YES;unsquad;-;YES;NO;NO;-;NO
argus;Argus;1986;NMK (Jaleco license);YES;-;NO;-;-;YES;NO;NO;-;NO
arkangc;Arkanoid (Game Corporation bootleg, set 1);1986;bootleg (Game Corporation);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkanoid;Arkanoid (World, older);1986;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
arkarea;Ark Area;1988;UPL;YES;-;NO;-;-;YES;NO;NO;-;NO
arkatayt;Arkanoid (Tayto bootleg);1986;bootleg (Tayto);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkatour;Tournament Arkanoid (US);1987;Taito America Corporation (Romstar license);YES;arkanoid;NO;arkanoid;-;YES;NO;NO;-;NO
arkbl2;Arkanoid (Japanese bootleg Set 2);1986;bootleg;NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkbl3;Arkanoid (Japanese bootleg Set 3);1986;bootleg;NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkbloc2;Block (Game Corporation bootleg, set 2);1986;bootleg (Game Corporation);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkblock;Block (Game Corporation bootleg, set 1);1986;bootleg (Game Corporation);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arknid2j;Arkanoid - Revenge of DOH (Japan);1987;Taito Corporation;NO;arknoid2;YES;arknoid2;-;YES;NO;NO;-;NO
arknid2u;Arkanoid - Revenge of DOH (US);1987;Taito America Corporation (Romstar license);NO;arknoid2;YES;arknoid2;-;YES;NO;NO;-;NO
arknoid2;Arkanoid - Revenge of DOH (World);1987;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
arknoidj;Arkanoid (Japan);1986;Taito Corporation;NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arknoidu;Arkanoid (US);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arknoiuo;Arkanoid (US, older);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-;YES;NO;NO;-;NO
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);1997;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
arlingtn;Arlington Horse Racing (v1.21-D);1991;Strata/Incredible Technologies;YES;-;NO;-;-;YES;NO;NO;-;NO
armedf;Armed Formation;1988;Nichibutsu;YES;-;NO;-;-;YES;NO;NO;-;NO
armora;Armor Attack;1980;Cinematronics;YES;-;NO;-;armora;YES;NO;NO;-;NO
armorap;Armor Attack (prototype);1980;Cinematronics;NO;armora;YES;armora;armora;YES;NO;NO;-;NO
armorar;Armor Attack (Rock-Ola);1980;Cinematronics (Rock-Ola license);NO;armora;YES;armora;armora;YES;NO;NO;-;NO
armorca2;Armored Car (set 2);1981;Stern;NO;armorcar;YES;armorcar;-;YES;NO;NO;-;NO
armorcar;Armored Car (set 1);1981;Stern Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
armwar;Armored Warriors (Euro 941024);1994;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
armwara;Armored Warriors (Asia 941024);1994;Capcom;NO;armwar;YES;armwar;-;YES;NO;NO;-;NO
armwarr1;Armored Warriors (Euro 941011);1994;Capcom;NO;armwar;YES;armwar;-;YES;NO;NO;-;NO
armwaru;Armored Warriors (USA 941024);1994;Capcom;NO;armwar;YES;armwar;-;YES;NO;NO;-;NO
armwrest;Arm Wrestling;1985;Nintendo;YES;-;NO;-;-;YES;NO;NO;-;NO
ashnojoe;Ashita no Joe (Japan);1990;Taito Corporation / Wave;NO;scessjoe;YES;scessjoe;-;YES;NO;NO;-;NO
ashura;Ashura Blaster (World);1990;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
ashurau;Ashura Blaster (US);1990;Taito America Corporation;NO;ashura;YES;ashura;-;YES;NO;NO;-;NO
aso;ASO - Armored Scrum Object;1985;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
assault;Assault (Rev B);1988;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
assaultj;Assault (Japan);1988;Namco;NO;assault;YES;assault;-;YES;NO;NO;-;NO
assaultp;Assault Plus (Japan);1988;Namco;NO;assault;YES;assault;-;YES;NO;NO;-;NO
astdelu1;Asteroids Deluxe (rev 1);1980;Atari;NO;astdelux;YES;astdelux;-;YES;NO;NO;-;NO
astdelux;Asteroids Deluxe (rev 3);1980;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
asterix;Asterix (ver EAD);1992;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
asterock;Asterock (Sidam bootleg of Asteroids);1979;bootleg (Sidam);NO;asteroid;YES;asteroid;-;YES;NO;NO;-;NO
asteroi1;Asteroids (rev 1);1979;Atari;NO;asteroid;YES;asteroid;-;YES;NO;NO;-;NO
asteroib;Asteroids (bootleg on Lunar Lander hardware);1979;bootleg;NO;asteroid;YES;asteroid;-;YES;NO;NO;-;NO
asteroid;Asteroids (rev 4);1979;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
astinvad;Astro Invader;1980;Leijac Corporation (Stern Electronics license);NO;kamikaze;YES;kamikaze;invaders;YES;NO;NO;-;NO
astorm;Alien Storm (World, 2 Players) (FD1094 317-0154);1990;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
astormbl;Alien Storm (bootleg, set 1);1990;bootleg;NO;astorm;YES;astorm;-;YES;NO;NO;-;NO
astrass;Astra SuperStars (J 980514 V1.002);1998;Sunsoft;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
astrob;Astro Blaster (version 3);1981;Sega;YES;-;NO;-;astrob;YES;NO;NO;-;NO
astrob1;Astro Blaster (version 1);1981;Sega;NO;astrob;YES;astrob;astrob;YES;NO;NO;-;NO
astrob2;Astro Blaster (version 2);1981;Sega;NO;astrob;YES;astrob;astrob;YES;NO;NO;-;NO
astrof;Astro Fighter (set 1);1979;Data East;YES;-;NO;-;astrof;YES;NO;NO;-;NO
astrof2;Astro Fighter (set 2);1979;Data East;NO;astrof;YES;astrof;astrof;YES;NO;NO;-;NO
astrof3;Astro Fighter (set 3);1979;Data East;NO;astrof;YES;astrof;astrof;YES;NO;NO;-;NO
astrofl;Astro Flash (Japan);1986;Sega;NO;transfrm;YES;transfrm;-;YES;NO;NO;-;NO
astrxeaa;Asterix (ver EAA);1992;Konami;NO;asterix;YES;asterix;-;YES;NO;NO;-;NO
astrxeac;Asterix (ver EAC);1992;Konami;NO;asterix;YES;asterix;-;YES;NO;NO;-;NO
astyanax;The Astyanax;1989;Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO
asuka;Asuka & Asuka (World);1988;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
asurabld;Asura Blade - Sword of Dynasty (Japan);1998;Fuuki;YES;-;NO;-;-;YES;NO;NO;-;NO
asylum;Asylum (prototype);1991;Leland Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
atarifb;Atari Football (revision 2);1978;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
atarifb1;Atari Football (revision 1);1978;Atari;NO;atarifb;YES;atarifb;-;YES;NO;NO;-;NO
atarifb4;Atari Football (4 players);1979;Atari;NO;atarifb;YES;atarifb;-;YES;NO;NO;-;NO
atetckt2;Tetris (cocktail set 2);1989;Atari Games;NO;atetris;YES;atetris;-;YES;NO;NO;-;NO
atetcktl;Tetris (cocktail set 1);1989;Atari Games;NO;atetris;YES;atetris;-;YES;NO;NO;-;NO
atetris;Tetris (set 1);1988;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
atetrisa;Tetris (set 2);1988;Atari Games;NO;atetris;YES;atetris;-;YES;NO;NO;-;NO
atetrisb;Tetris (bootleg set 1);1988;bootleg;NO;atetris;YES;atetris;-;YES;NO;NO;-;NO
athena;Athena;1986;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
atlantis;Battle of Atlantis (set 1);1981;Comsoft;YES;-;NO;-;-;YES;NO;NO;-;NO
atlants2;Battle of Atlantis (set 2);1981;Comsoft;NO;atlantis;YES;atlantis;-;YES;NO;NO;-;NO
atomboy;Atomic Boy (revision B);1985;Irem (Memetron license);NO;wilytowr;YES;wilytowr;-;YES;NO;NO;-;NO
atomicp;Atomic Point (Korea);1990;Philko;YES;-;NO;-;-;YES;NO;NO;-;NO
atompunk;Atomic Punk (US);1991;Irem America (licensed from Hudson Soft);NO;dynablst;YES;dynablst;-;YES;NO;NO;-;NO
aurail;Aurail (set 3, US) (unprotected);1990;Sega / Westone;YES;-;NO;-;-;YES;NO;NO;-;NO
avalnche;Avalanche;1978;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
avenger2;Avengers (US set 2);1987;Capcom;NO;avengers;YES;avengers;-;YES;NO;NO;-;NO
avengers;Avengers (US set 1);1987;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
avengrgs;Avengers In Galactic Storm (US);1995;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
avsp;Alien vs. Predator (Euro 940520);1994;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
