name;description;year;category;genre;Top200;Top50;Icons;Top50 80s;Top50 90s;bios;sample
elvactr;Elevator Action Returns;1994;Platform / Shooter;Platform;ok;x;;;x;;
espgal2;Espgaluda II;2005;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
extdwnhl;Extreme Downhill;1995;Sports / Skiing;Sports;ok;;;;fbneo;;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;Fighter / Versus;Fighter;ok;;;;x;neogeo;
garou;Garou - Mark of the Wolves;1999;Fighter / Versus;Fighter;ok;x;x;;x;neogeo;
gigawing;Giga Wing;1999;Shooter / Flying Vertical;Shooter;ok;;;;x;;
gunbird2;Gunbird 2;1998;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
gunlock;Gunlock / RayForce;1993;Shooter / Flying Vertical;Shooter;ok;;;;x;;
joemacr;Joe & Mac Returns;1994;Platform / Run Jump;Platform;ok;;;;x;;
lightbr;Light Bringer;1993;Maze / Fighter;Maze;ok;;;;x;;
macrossp;Macross Plus;1996;Shooter / Flying Vertical;Shooter;ok;;;;fbneo;;
msword;Magic Sword - heroic fantasy;1990;Platform / Fighter Scrolling;Platform;ok;x;;;x;;
magdrop3;Magical Drop III;1997;Puzzle / Toss;Puzzle;ok;;;;x;neogeo;
mvsc;Marvel vs Capcom - clash of super heroes;1998;Fighter / Versus;Fighter;ok;x;;;x;;
mazinger;Mazinger Z;1994;Shooter / Flying Vertical;Shooter;ok;;;;x;;
megaman2;Mega Man 2 - the power fighters;1996;Fighter / Versus Co-op;Fighter;ok;;;;x;;
mtwins;Mega Twins;1990;Platform / Fighter Scrolling;Platform;ok;;;;fbneo;;
mslug4;Metal Slug 4;2002;Platform / Shooter Scrolling;Platform;ok;;;;x;neogeo;
mwalk;Michael Jackson's Moonwalker;1990;Platform / Fighter Scrolling;Platform;ok;;;;x;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Puzzle / Toss;Puzzle;ok;;;;x;neogeo;
futari15;Mushihime-Sama Futari Ver 1.5;2006;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
nbahangt;NBA Hangtime;1996;Sports / Basketball;Sports;ok;x;;;x;;
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Sports / Golf;Sports;ok;x;;;x;neogeo;
nbbatman;Ninja Baseball Batman;1993;Fighter / 2.5D;Fighter;ok;;;;x;;
osman;Osman;1996;Platform / Fighter Scrolling;Platform;ok;;;;fbneo;;
outzone;Out Zone;1990;Shooter / Walking;Shooter;ok;;;;x;;
parodius;Parodius DA!;1990;Shooter / Flying Horizontal;Shooter;ok;fbneo;x;;x;;
pspikes;Power Spikes;1991;Sports / Volleyball;Sports;ok;;;;x;;
sailormn;Pretty Soldier Sailor Moon;1995;Fighter / 2.5D;Fighter;ok;;;;x;;
progear;Progear;2001;Shooter / Flying Horizontal;Shooter;ok;;;;x;;
pulstar;Pulstar;1995;Shooter / Flying Horizontal;Shooter;ok;;;;x;neogeo;
puyopuy2;Puyo Puyo 2;1994;Puzzle / Drop;Puzzle;ok;x;;;x;;
puzzloop;Puzz Loop;1998;Puzzle / Toss;Puzzle;ok;;;;x;skns;
ichir;Puzzle & Action: Ichidant-R;1994;Multiplay / Mini-Games;Multiplay;ok;;;;x;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again;1999;Puzzle / Toss;Puzzle;ok;x;;;x;neogeo;
rtypeleo;R-Type Leo;1992;Shooter / Flying Horizontal;Shooter;ok;x;;;x;;
rdft;Raiden Fighters;1996;Shooter / Flying Vertical;Shooter;ok;;;;fbneo;;
rmpgwt;Rampage: World Tour;1997;Platform / Fighter;Platform;ok;;;;x;;
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;Fighter / Versus;Fighter;ok;x;;;x;neogeo;
redearth;Red Earth / War-Zard;1996;Fighter / Versus Co-op;Fighter;ok;;;;x;;
rthun2;Rolling Thunder 2;1990;Platform / Shooter Scrolling;Platform;ok;;;;x;;
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin;1996;Fighter / Versus;Fighter;ok;x;;;x;neogeo;
slammast;Saturday Night Slam Masters;1993;Sports / Wrestling;Sports;ok;;;;x;;
shocktr2;Shock Troopers - 2nd Squad;1998;Shooter / Walking;Shooter;ok;;;;x;neogeo;
smashtv;Smash T.V.;1990;Shooter / Field;Shooter;;;x;;x;;
svc;SNK vs. Capcom - SVC Chaos;2003;Fighter / Versus;Fighter;ok;;;;fbneo;neogeo;
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies;1995;Shooter / Gallery;Shooter;ok;;;;x;;
sfa3;Street Fighter Alpha 3;1998;Fighter / Versus;Fighter;ok;x;;;x;;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;1999;Fighter / Versus;Fighter;ok;x;;;x;;
s1945ii;Strikers 1945 II;1997;Shooter / Flying Vertical;Shooter;ok;;;;x;;
ssriders;Sunset Riders;1991;Platform / Shooter Scrolling;Platform;ok;;;;x;;
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;1996;Sports / Dodgeball;Sports;ok;;;;x;neogeo;
spang;Super Pang;1990;Shooter / 3rd Person;Shooter;ok;;;;x;;
spf2t;Super Puzzle Fighter II Turbo;1996;Puzzle / Drop;Puzzle;ok;x;;;x;;
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football;1994;Sports / Soccer;Sports;ok;x;;;x;neogeo;
ssf2t;Super Street Fighter II Turbo;1994;Fighter / Versus;Fighter;ok;;x;;x;;
tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time;1991;Fighter / 2.5D;Fighter;ok;;;;x;;
tetrisp2;Tetris Plus 2;1997;Puzzle / Drop;Puzzle;ok;;;;x;;
tgm2;Tetris the Absolute The Grand Master 2;2000;Puzzle / Drop;Puzzle;ok;x;;;x;;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends;1998;Fighter / Versus;Fighter;ok;x;x;;x;neogeo;
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi;1998;Fighter / Versus;Fighter;ok;;;;x;neogeo;
punisher;The Punisher;1993;Fighter / 2.5D;Fighter;ok;;;;x;;
trstar;Top Ranking Stars;1993;Sports / Boxing;Sports;ok;;;;x;;
truxton2;Truxton II;1992;Shooter / Flying Vertical;Shooter;ok;;;;x;;
twinspri;Twinkle Star Sprites;1996;Shooter / Flying Vertical;Shooter;ok;;;;x;neogeo;
umk3;Ultimate Mortal Kombat 3;1994;Fighter / Versus;Fighter;ok;;;;x;;
ultennis;Ultimate Tennis;1993;Sports / Tennis;Sports;ok;;;;x;;
vsav;Vampire Savior - the lord of vampire;1997;Fighter / Versus;Fighter;ok;x;;;x;;
vasara2;Vasara 2;2001;Shooter / Flying Vertical;Shooter;ok;;;;x;;
wjammers;Windjammers / Flying Power Disc;1994;Sports / Misc.;Sports;ok;x;x;;x;neogeo;
wh2j;World Heroes 2 Jet;1994;Fighter / Versus;Fighter;ok;;;;x;neogeo;
wrally;World Rally;1993;Driving / Race;Driving;ok;fbneo;;;x;;
